gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,phi,uncalibrated_pvalue,uncalibrated_zscore
ENSG00000135124.14,P2RX4,2.2494311378436196,0.05937847501698041,0.024485079401511935,0.10318489344471965,0.09376438504993796,3.1622988095761804e-05,NA,89,97,97,1.6221038518284617e-05,3.073906983067572e-05,4.167920796993474
ENSG00000167984.17,NLRC3,-2.0972959457963563,-0.06503897257140018,0.03596738553842262,0.08549568959309772,0.3457044637391709,1.1376825922969951e-18,NA,9,11,11,1.960755244234471e-05,3.1325220494840426e-05,-4.163612037985774
ENSG00000175334.7,BANF1,-1.4279881416951368,-0.231085384400721,0.15329527173253368,0.006313478198093813,0.04854395631213946,0.003839295056001831,NA,38,45,45,4.9449912494231035e-05,3.427792271674289e-05,-4.143008505593312
ENSG00000197457.9,STMN3,-1.7336980936840831,-0.2674746007836903,0.0829716649519682,0.005274867498591648,0.10271473546324428,7.818817601216597e-06,NA,15,20,20,3.1364450024983126e-05,3.460335438892419e-05,-4.1408418123184445
ENSG00000095485.16,CWF19L1,-1.3487475641745026,-0.05551854608121397,0.177418062239451,0.11532970370817133,0.5721089676542997,2.696055284793882e-38,NA,34,40,40,5.566939171949576e-05,3.719295646092508e-05,-4.124259388504227
ENSG00000198218.10,QRICH1,-0.9493496707140925,-0.28624174569734806,0.34244279878052664,0.004348458845239648,0.06759819257976234,0.0005099710653343817,NA,20,27,27,0.00011858601504256556,3.872508226769842e-05,-4.1149574625395875
ENSG00000144909.7,OSBPL11,-1.6815135955815805,-0.36707773996210363,0.09266319791959106,0.0026325738209803918,0.030521874081270488,0.02094872973160243,NA,46,51,51,3.3207434808850446e-05,3.916294833205183e-05,-4.112363231549666
ENSG00000164930.11,FZD6,1.82023445356156,0.20108632213811287,0.06872330838518237,0.009018279090191842,0.1417782739150961,1.4055888710713902e-07,NA,21,24,24,2.7317412110272353e-05,3.961638781393694e-05,4.109705587889808
ENSG00000184898.6,RBM43,-1.5613795073550472,-0.2683472062552371,0.11843423410482093,0.004169211075128907,0.044797233768865616,0.004506487120484748,NA,10,11,11,3.937722114178605e-05,4.0718494930927824e-05,-4.103364511937533
ENSG00000272849.1,RP11-347I19.8,-1.9570554704692005,-0.09276262301477475,0.05034094701081634,0.0407380599723064,0.14770063380700682,4.1601025797871434e-08,NA,72,80,80,2.2528368999124017e-05,4.213209994760155e-05,-4.095465482975748
ENSG00000112701.17,SENP6,1.4121098306972946,0.3198071978047916,0.15791762460002867,0.00323183639135864,0.1444555942182104,1.4707110556578137e-07,NA,33,40,40,4.9352675718207047e-05,4.251120585000883e-05,4.093389857525185
ENSG00000163950.12,SLBP,2.8224431673946917,0.39560978495066057,0.004765926832908114,0.0024663767407360248,0.0542145872630458,0.0012259421770980205,NA,6,6,6,7.315807277176878e-06,4.3595686595911424e-05,4.087547802494189
ENSG00000164068.15,RNF123,0.9112755516102352,0.24346422440009619,0.36215020481766236,0.006113686559265911,0.18182142099547055,2.6758519863164506e-09,NA,94,111,111,0.00012613249534488462,4.7586208620895856e-05,4.067176463595485
ENSG00000147804.9,SLC39A4,1.9662808414100517,0.2432573384415549,0.04926617863962664,0.0060242909889602885,0.11004483180956597,7.701283851902156e-06,NA,18,26,26,2.170836717768838e-05,4.979785245366851e-05,4.056573705831403
ENSG00000106392.10,C1GALT1,1.8899618577349289,0.0836716656356398,0.05876306149442251,0.05068393729688213,0.3944981239663351,8.45558698005897e-22,NA,15,19,19,2.398454871149432e-05,5.0674244095913475e-05,4.0524952919149655
ENSG00000103351.12,CLUAP1,1.930874315749061,0.08607655095319666,0.053498597156683134,0.04688938630334932,0.2281627345835772,2.7514750994715183e-12,NA,22,26,26,2.254481343006921e-05,5.303910227137875e-05,4.041814861472861
ENSG00000160360.12,GPSM1,1.6557943454434916,0.2222422163760267,0.09776347329502084,0.007880187684564926,0.2029594711456303,1.69866184395445e-10,NA,7,11,11,3.295475971591729e-05,5.4228491008254085e-05,4.0366126583582504
ENSG00000196458.10,ZNF605,1.8393741768029754,0.16208074464829678,0.06586016960512561,0.013105001032184479,0.1501271545148313,9.252097410654283e-08,NA,34,43,43,2.5282422125875707e-05,5.657476422422902e-05,4.026659928017865
